feature,ensemble_importance,lgb_importance,xgb_importance
event_cause_corridor_grouped_congestion_non_corridor,0.0,0.0,0.0
corridor_grouped_old_airport_road,0.0,0.0,0.0
corridor_grouped_magadi_road,0.0,0.0,0.0
corridor_grouped_irr_thanisandra_road,0.0,0.0,0.0
corridor_grouped_hosur_road,0.0,0.0,0.0
corridor_peak_interaction_grouped_bellary_road_1_night,0.0,0.0,0.0
event_cause_corridor_grouped_congestion_hennur_main_road,0.0,0.0,0.0
event_cause_corridor_grouped_accident_bellary_road_2,0.0,0.0,0.0
event_cause_corridor_grouped_accident_bellary_road_1,0.0,0.0,0.0
direction_grouped_other_rare,0.0,0.0,0.0
event_cause_corridor_grouped_pot_holes_hosur_road,0.0,0.0,0.0
event_cause_corridor_grouped_pot_holes_bannerghata_road,0.0,0.0,0.0
event_cause_corridor_grouped_others_tumkur_road,0.0,0.0,0.0
event_cause_corridor_grouped_others_orr_north_2,0.0,0.0,0.0
event_cause_corridor_grouped_others_orr_north_1,0.0,0.0,0.0
event_cause_corridor_grouped_others_non_corridor,0.0,0.0,0.0
event_cause_corridor_grouped_others_mysore_road,0.0,0.0,0.0
event_cause_corridor_grouped_others_magadi_road,0.0,0.0,0.0
event_cause_corridor_grouped_others_bellary_road_2,0.0,0.0,0.0
event_cause_corridor_grouped_others_bellary_road_1,0.0,0.0,0.0
event_cause_corridor_grouped_construction_orr_north_1,0.0,0.0,0.0
event_cause_corridor_grouped_construction_orr_east_2,0.0,0.0,0.0
event_cause_corridor_grouped_construction_non_corridor,0.0,0.0,0.0
event_cause_corridor_grouped_vehicle_breakdown_hennur_main_road,0.0,0.0,0.0
event_cause_corridor_grouped_vehicle_breakdown_cbd_2,0.0,0.0,0.0
event_cause_corridor_grouped_vehicle_breakdown_bellary_road_2,0.0,0.0,0.0
event_cause_corridor_grouped_vehicle_breakdown_bannerghata_road,0.0,0.0,0.0
event_cause_corridor_grouped_vehicle_breakdown_airport_new_south_road,0.0,0.0,0.0
event_cause_corridor_grouped_road_conditions_non_corridor,0.0,0.0,0.0
event_cause_corridor_grouped_public_event_non_corridor,0.0,0.0,0.0
event_cause_corridor_grouped_procession_non_corridor,0.0,0.0,0.0
event_cause_corridor_grouped_pot_holes_orr_east_1,0.0,0.0,0.0
event_cause_corridor_grouped_pot_holes_old_madras_road,0.0,0.0,0.0
event_cause_corridor_grouped_pot_holes_non_corridor,0.0,0.0,0.0
event_cause_corridor_grouped_pot_holes_irr_thanisandra_road,0.0,0.0,0.0
event_cause_corridor_grouped_vehicle_breakdown_varthur_road,0.0,0.0,0.0
event_cause_corridor_grouped_vehicle_breakdown_orr_west_1,0.0,0.0,0.0
event_cause_corridor_grouped_vehicle_breakdown_orr_north_2,0.0,0.0,0.0
event_cause_corridor_grouped_vehicle_breakdown_orr_north_1,0.0,0.0,0.0
event_cause_corridor_grouped_vehicle_breakdown_orr_east_2,0.0,0.0,0.0
event_cause_corridor_grouped_vehicle_breakdown_orr_east_1,0.0,0.0,0.0
event_cause_corridor_grouped_vehicle_breakdown_old_madras_road,0.0,0.0,0.0
event_cause_corridor_grouped_vehicle_breakdown_old_airport_road,0.0,0.0,0.0
event_cause_corridor_grouped_vehicle_breakdown_mysore_road,0.0,0.0,0.0
event_cause_corridor_grouped_vehicle_breakdown_magadi_road,0.0,0.0,0.0
event_cause_corridor_grouped_vehicle_breakdown_irr_thanisandra_road,0.0,0.0,0.0
event_cause_corridor_grouped_vehicle_breakdown_hosur_road,0.0,0.0,0.0
event_cause_grouped_public_event,0.0,0.0,0.0
event_cause_grouped_procession,0.0,0.0,0.0
corridor_grouped_bannerghata_road,0.0,0.0,0.0
corridor_grouped_airport_new_south_road,0.0,0.0,0.0
corridor_cause_interaction_grouped_west_of_chord_road_vehicle_breakdown,0.0,0.0,0.0
corridor_cause_interaction_grouped_varthur_road_vehicle_breakdown,0.0,0.0,0.0
corridor_cause_interaction_grouped_tumkur_road_vehicle_breakdown,0.0,0.0,0.0
corridor_cause_interaction_grouped_tumkur_road_others,0.0,0.0,0.0
corridor_cause_interaction_grouped_orr_west_1_vehicle_breakdown,0.0,0.0,0.0
corridor_grouped_other_rare,0.0,0.0,0.0
corridor_grouped_orr_west_1,0.0,0.0,0.0
corridor_grouped_orr_north_2,0.0,0.0,0.0
corridor_grouped_orr_north_1,0.0,0.0,0.0
corridor_grouped_orr_east_2,0.0,0.0,0.0
event_cause_grouped_other_rare,0.0,0.0,0.0
event_cause_corridor_grouped_water_logging_orr_east_1,0.0,0.0,0.0
event_cause_corridor_grouped_water_logging_non_corridor,0.0,0.0,0.0
event_cause_corridor_grouped_water_logging_mysore_road,0.0,0.0,0.0
event_cause_corridor_grouped_water_logging_bellary_road_1,0.0,0.0,0.0
event_cause_corridor_grouped_water_logging_bannerghata_road,0.0,0.0,0.0
event_cause_corridor_grouped_vehicle_breakdown_west_of_chord_road,0.0,0.0,0.0
corridor_cause_interaction_grouped_orr_north_1_construction,0.0,0.0,0.0
corridor_cause_interaction_grouped_orr_east_2_vehicle_breakdown,0.0,0.0,0.0
corridor_cause_interaction_grouped_orr_east_2_construction,0.0,0.0,0.0
corridor_cause_interaction_grouped_orr_east_1_water_logging,0.0,0.0,0.0
corridor_cause_interaction_grouped_orr_east_1_vehicle_breakdown,0.0,0.0,0.0
corridor_cause_interaction_grouped_orr_east_1_pot_holes,0.0,0.0,0.0
corridor_cause_interaction_grouped_old_madras_road_vehicle_breakdown,0.0,0.0,0.0
corridor_cause_interaction_grouped_old_madras_road_pot_holes,0.0,0.0,0.0
corridor_cause_interaction_grouped_old_airport_road_vehicle_breakdown,0.0,0.0,0.0
corridor_grouped_hennur_main_road,0.0,0.0,0.0
corridor_grouped_cbd_2,0.0,0.0,0.0
corridor_grouped_cbd_1,0.0,0.0,0.0
corridor_grouped_bellary_road_2,0.0,0.0,0.0
corridor_grouped_bellary_road_1,0.0,0.0,0.0
has_emergency_word,0.0,0.0,0.0
has_cargo_material,0.0,0.0,0.0
has_breakdown_word,0.0,0.0,0.0
event_cause_grouped_vip_movement,0.0,0.0,0.0
is_truck,0.0,0.0,0.0
is_public_or_vip_event,0.0,0.0,0.0
has_water_word,0.0,0.0,0.0
has_start_location,0.0,0.0,0.0
junction_grouped_hesaraghattajunction,0.0,0.0,0.0
junction_grouped_hebbalflyoverjunc,0.0,0.0,0.0
junction_grouped_goruguntepalyajunc,0.0,0.0,0.0
junction_grouped_gokuldasimagesjunc,0.0,0.0,0.0
junction_grouped_devasandra_k_r_puram,0.0,0.0,0.0
junction_grouped_cmp_gatejunc,0.0,0.0,0.0
junction_grouped_bommanahalli,0.0,0.0,0.0
junction_grouped_bigbazaarjunction_oldmadrasrd,0.0,0.0,0.0
junction_grouped_bel_circle,0.0,0.0,0.0
is_weekend,0.0,0.0,0.0
is_two_wheeler,0.0,0.0,0.0
junction_grouped_srs_peenya_junc,0.0,0.0,0.0
junction_grouped_sattelitebusstandjunc,0.0,0.0,0.0
corridor_cause_interaction_grouped_non_corridor_procession,0.0,0.0,0.0
corridor_cause_interaction_grouped_non_corridor_pot_holes,0.0,0.0,0.0
corridor_cause_interaction_grouped_non_corridor_others,0.0,0.0,0.0
corridor_cause_interaction_grouped_non_corridor_construction,0.0,0.0,0.0
corridor_cause_interaction_grouped_non_corridor_congestion,0.0,0.0,0.0
cargo_material_grouped_other_rare,0.0,0.0,0.0
cause_heavy_vehicle_interaction_grouped_other_rare,0.0,0.0,0.0
cause_heavy_vehicle_interaction_grouped_public_event_heavy_0,0.0,0.0,0.0
zone_cause_interaction_grouped_west_zone_2_vehicle_breakdown,0.0,0.0,0.0
corridor_cause_interaction_grouped_orr_north_2_vehicle_breakdown,0.0,0.0,0.0
corridor_cause_interaction_grouped_orr_north_2_others,0.0,0.0,0.0
corridor_cause_interaction_grouped_orr_north_2_congestion,0.0,0.0,0.0
corridor_cause_interaction_grouped_orr_north_1_vehicle_breakdown,0.0,0.0,0.0
corridor_cause_interaction_grouped_orr_north_1_others,0.0,0.0,0.0
junction_grouped_policecornerjunc,0.0,0.0,0.0
zone_cause_interaction_grouped_west_zone_2_others,0.0,0.0,0.0
junction_grouped_nagavara_orr_junction,0.0,0.0,0.0
